setor,subsetor,site,telefones,emails
ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS – FACC,Biblioteca,,(32) 2102-3523,
ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS – FACC,Coordenação do curso de Administração,,(32) 2102-3535,coord.adm@ufjf.br
ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS – FACC,Coordenação do curso de Administração Integral,,(32) 2102-3535,coord.adm.integral@ufjf.br
ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS – FACC,Coordenação do curso de Administração Noturno,,(32) 2102-3535,coord.adm.noturno@ufjf.br
ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS – FACC,Coordenação do curso de Ciências Contábeis Integral,,(32) 2102-3535,coord.contabeis.integral@ufjf.br
ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS – FACC,Coordenação do curso de Ciências Contábeis Noturno,,(32) 2102-3535,coord.contabeis.noturno@ufjf.br
ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS – FACC,Coordenação dos mestrados,,(32) 2102-3532,
ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS – FACC,Coordenações de curso,,(32) 2102-3525,
ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS – FACC,Secretaria acadêmica,,(32) 2102-3524,
ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS – FACC,Secretaria administrativa,,(32) 2102-3528,secretaria.facc@ufjf.br
ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS – FACC,Secretaria BAP,,(32) 2102-3384 | (32) 2102-3528,secretaria.bap@ufjf.br
ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS – FACC,Secretaria de Extensão,,(32) 2102-3550,extensao.facc@ufjf.br
ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS – FACC,Secretaria do curso de Administração,,(32) 2102-3524,
ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS – FACC,Secretaria do curso de Ciências Contábeis,,(32) 2102-3524,
ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS – FACC,Secretaria FACC,https://www2.ufjf.br/facc,(32) 2102-3521,secretaria.adm@facc.ufjf.br | secretaria.facc@ufjf.br
ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS – FACC,Secretaria Mestrado Acadêmico em Administração,,(32) 2102-3522,mestrado.admacad@ufjf.br
ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS – FACC,Secretaria Mestrado Profissional em Administração Pública - PROFIAP,,(32) 2102-3522,mestrado.admprof@ufjf.br
ALMOXARIFADO CENTRAL,Gerência de Estoque (Almoxarifado Central),,(32) 2102-6490/ (32) 2102-3450,almoxarifado.central@ufjf.br
APES JF – Associação dos Professores de Ensino Superior de Juiz de Fora,Assessoria Jurídica,,(32) 3216-7890,leocastroadv@hotmail.com
APES JF – Associação dos Professores de Ensino Superior de Juiz de Fora,Jornalismo,,(32) 99158-6924,apesjf@gmail.com
APES JF – Associação dos Professores de Ensino Superior de Juiz de Fora,Plano de Saúde,,(32) 98410-9828,beth@apesjf.org.br
APES JF – Associação dos Professores de Ensino Superior de Juiz de Fora,Secretaria,https://www.apesjf.org.br/,(32) 99109-2284,faleconosco@apesjf.org.br
APES JF – Associação dos Professores de Ensino Superior de Juiz de Fora,Tesouraria,,(32) 99160-5284,ronaldo@apesjf.org.br
ARQUITETURA E URBANISMO,Coordenação do curso,,(32) 2102-6307,coord.arquitetura@ufjf.br
ARQUITETURA E URBANISMO,Departamentos DPRT e DPHT,,(32) 2102-3403,
ARQUITETURA E URBANISMO,Direção,,(32) 2102-3359,direcao.fau@ufjf.br
ARQUITETURA E URBANISMO,Secretaria,https://www.ufjf.br/fau,(32) 2102-3403,secretaria.fau@ufjf.br
ARQUIVO CENTRAL,"Arquivos Permanentes, Restauração e Secretaria (Av. Rio Branco, 3460)",,(32) 2102-6321,
ARQUIVO CENTRAL,Coordenação Sistema de Arquivos (Reitoria/Campus),https://www2.ufjf.br/arquivocentral,(32) 2102-3984,gestao.documentos@ufjf.br
AUDITORIA INTERNA – Audin/UFJF,Coordenação Sistema de Arquivos (Reitoria/Campus),https://www2.ufjf.br/auditoriainterna,(32) 2102-3397,auditoriainterna@ufjf.br
BACHARELADO INTERDISCIPLINAR EM ARTES E DESIGN,Biblioteca do IAD,,,biblioteca.iad@ufjf.br
BACHARELADO INTERDISCIPLINAR EM ARTES E DESIGN,Coordenação do curso,,(32) 2102-3354,
BACHARELADO INTERDISCIPLINAR EM ARTES E DESIGN,Secretaria,https://www.ufjf.br/biad,(32) 2102-3353,secretaria.iad@ufjf.br
BIBLIOTECA UNIVERSITÁRIA – Centro de Difusão do Conhecimento – CDC,Atendimento ao usuário,https://www.ufjf.br/biblioteca,(32) 2102-3767 | (32) 2102-3671,biblioteca.central@ufjf.br
BIBLIOTECA UNIVERSITÁRIA – Centro de Difusão do Conhecimento – CDC,Coordenação,,(32) 2102-3760,cdc@ufjf.br
BIBLIOTECA UNIVERSITÁRIA – Centro de Difusão do Conhecimento – CDC,Processamento Técnico,,(32) 2102-3752,processamento.tecnico@ufjf.br
BIBLIOTECA UNIVERSITÁRIA – Centro de Difusão do Conhecimento – CDC,Secretaria,,(32) 2102-3761 | (32) 2102-3670 | (32) 2102-3764,secretaria.cdc@ufjf.br | multas.cdc@ufjf.br
CAED - ASSISTÊNCIA CURSOS,,,,assistencia.cursos@caedufjf.net
CAED – Centro de Políticas Públicas e Avaliação da Educação,(Pós-graduação),,(32) 4009-9330,ppgp@caedufjf.net
CAED – Centro de Políticas Públicas e Avaliação da Educação,Secretaria do PPGP,,(32) 4009-9322,mestrado@caed.ufjf.br
CAED – Centro de Políticas Públicas e Avaliação da Educação,Unidade Dom Orione,https://institucional.caeddigital.net,(32) 4009-9290 /(32) 4009-9300,faleconosco@fundacaocaed.org.br
CAED – Centro de Políticas Públicas e Avaliação da Educação,Unidade Espírito Santo,,(32) 4009-9750,
CASA HELENIRA PRETA,"Localizada na Av. Barão do Rio Branco, 3372 ou pela Rua Severino Meireles, 260 – Passos – Juiz de Fora",https://www.ufjf.br/facssocial/institucional/casa-helenira-preta/,(32) 2102-6310,casa.helenirarezende@ufjf.br
CDARA,Dúvidas sobre a documentação do Anexo 1 (todos os grupos),,,duvidasmatricula@ufjf.br
CDARA,"Dúvidas sobre a documentação do Anexo 2 (grupos A, B, G e H)",,(32) 2102-3341,analiserenda.cdara@ufjf.br
CDARA,"Dúvidas sobre a documentação dos Anexos 3, 4, 5, 6 e 7 (grupos A, D, H. J, G e I)",,,garv.cdara@ufjf.br
CDARA,Gerência de Colação de Grau e Registro de Diplomas (Diplomas (graduação) e Revalidação de Diploma),,(32) 2102-3737,sra.cdara@ufjf.br | gra.cdara@ufjf.br
CDARA,"GMCA – Gerência de Matrícula e Controle Acadêmico (Matrícula, Recursos, Aproveitamento de Estudos)",,(32) 2102-3734,
